Time	SizeNorm	NN	MaxRgMorm	MaxRg	EffPhi
2.4	0.0003692259	0.0109489051	0.0519332977	6.6474621055	0.0620491433
2.5	0.0003697655	0.011687363	0.0484975577	6.2076873847	0.0619616851
2.6	0.0003719658	0.0117560617	0.0504263578	6.4545737961	0.0616003662
2.7	0.0003719588	0.0124816446	0.0513910407	6.5780532074	0.0616148
2.8	0.0003690764	0.0123861566	0.0505214641	6.466747405	0.062088347
2.9	0.0003675973	0.0109011628	0.0513851286	6.5772964557	0.0623420513
3	0.0003675973	0.0109011628	0.0511847539	6.5516484948	0.0623335455
3.1	0.0003686537	0.0138081395	0.0490644094	6.2802444043	0.0622262493
3.2	0.0003682386	0.0145085238	0.0511041837	6.5413355075	0.0623014473
3.3	0.0003667885	0.0108774474	0.0488688501	6.2552128128	0.062443722
3.4	0.0003667755	0.0123099203	0.0496291067	6.352525657	0.0624869448
3.5	0.0003699022	0.0116916332	0.0505638231	6.4721693598	0.0619417997
3.6	0.000370299	0.0131482834	0.0510861119	6.539022319	0.0618912105
3.7	0.000368811	0.0116575592	0.0517892771	6.6290274634	0.0621276907
3.8	0.000366923	0.0108813928	0.0508973045	6.5148549741	0.0624577514
3.9	0.0003670577	0.0108853411	0.0511588932	6.5483383304	0.0624160067
4	0.0003669101	0.0123143788	0.0509985899	6.52781951	0.0624949088
4.1	0.000365989	0.0101375815	0.0512196227	6.5561117033	0.0626001634
4.2	0.0003678547	0.012345679	0.0508612835	6.5102442863	0.0622963036
4.3	0.0003692127	0.0123906706	0.0531022116	6.7970830835	0.0620866885
4.4	0.0003699022	0.0116916332	0.0521979365	6.6813358777	0.0619659991
4.5	0.000364769	0.0122434282	0.0483127062	6.1840263942	0.0628222395
4.6	0.0003657093	0.0115606936	0.0502792229	6.4357405341	0.0626405113
4.7	0.000364129	0.0093727469	0.0505510785	6.4705380508	0.0628791501
4.8	0.0003630714	0.0093457944	0.0513820468	6.5769019894	0.0630752144
4.9	0.0003643889	0.0100937275	0.0501476684	6.4189015502	0.0628429461
5	0.0003655877	0.0101265823	0.0504102891	6.452517011	0.0626535955
5.1	0.0003642504	0.0108030248	0.0502796868	6.4357999071	0.0628846052
5.2	0.0003634561	0.0107797341	0.0498657434	6.3828151574	0.0630203047
5.3	0.0003661171	0.0108577633	0.0509756268	6.5248802288	0.0625659188
5.4	0.0003659403	0.015129683	0.0504579268	6.4586146261	0.0628077028
5.5	0.0003633298	0.0100647017	0.0487693391	6.2424753993	0.063033239
5.6	0.0003622769	0.0100358423	0.0502600355	6.4332845421	0.063212022
5.7	0.0003646546	0.0101010101	0.0496526322	6.3555369211	0.0628040396
5.8	0.0003625278	0.0114613181	0.0512171038	6.5557892821	0.0632042046
5.9	0.0003649207	0.0101083032	0.0506221982	6.4796413652	0.0627509762
6	0.0003630542	0.0114777618	0.0520896486	6.6674750177	0.0630912905
6.1	0.0003634435	0.0121994977	0.0498121373	6.3759535757	0.0630879323
6.2	0.0003641051	0.0122214234	0.0523377331	6.6992298396	0.0629446287
6.3	0.0003622712	0.0107449857	0.0496377349	6.3536300735	0.0632176957
6.4	0.0003626653	0.0107565436	0.0508112397	6.5038386785	0.0631579201
6.5	0.0003635756	0.0122038765	0.0518456535	6.6362436497	0.0630299966
6.6	0.0003645097	0.0115232265	0.0522889115	6.692980668	0.062869953
6.7	0.0003654212	0.0136887608	0.0515730149	6.6013459065	0.0627995462
