# t/tauB rate Stress_mPa
1.520000000000000000e+02 7.921343842050792769e-03 -2.873195968897079844e-01
1.530000000000000000e+02 8.600095556617295967e-03 -5.450302601210692266e-02
1.540000000000000000e+02 7.127782423446023946e-03 -5.862558539593677454e-01
1.550000000000000000e+02 8.504550331836426003e-03 -8.614078625049310933e-02
1.560000000000000000e+02 8.060673443456163254e-03 -2.379420948217451925e-01
1.570000000000000000e+02 6.941965171169027331e-03 -6.610609687629992459e-01
1.580000000000000000e+02 8.271658685241619832e-03 -1.647718767039848542e-01
1.590000000000000000e+02 7.390720101177772686e-03 -4.836706322756227361e-01
1.600000000000000000e+02 8.737749439130948134e-03 -9.534485827603370045e-03
1.610000000000000000e+02 6.913890634820867541e-03 -6.725368526735379104e-01
1.620000000000000000e+02 7.256894049346879726e-03 -5.354184659042717787e-01
1.630000000000000000e+02 8.378029205653211853e-03 -1.285869738902889747e-01
1.640000000000000000e+02 8.405989756421785447e-03 -1.191516573065777296e-01
1.650000000000000000e+02 7.656549083948591475e-03 -3.836024201841928827e-01
1.660000000000000000e+02 7.941451261289318719e-03 -2.801402792997877977e-01
1.670000000000000000e+02 8.297789841023653357e-03 -1.558397013728241021e-01
1.680000000000000000e+02 8.371768536103251987e-03 -1.307039577604184877e-01
1.690000000000000000e+02 8.740041766571273948e-03 -8.791643874329181998e-03
1.700000000000000000e+02 8.200843294263278002e-03 -1.891206495916025465e-01
1.710000000000000000e+02 7.760917409938607354e-03 -3.452609595920090313e-01
1.720000000000000000e+02 7.991086864650966820e-03 -2.624955069897514370e-01
1.730000000000000000e+02 8.908343892792689594e-03 4.522207719646020169e-02
1.740000000000000000e+02 8.377204780386580951e-03 -1.288656547304068423e-01
1.750000000000000000e+02 7.952362658470995757e-03 -2.762519895250588609e-01
1.760000000000000000e+02 8.957966465048617169e-03 6.095291416415882235e-02
1.770000000000000000e+02 8.546682437330687179e-03 -7.214605450522559860e-02
1.780000000000000000e+02 8.467788076438951053e-03 -9.840860805544536516e-02
1.790000000000000000e+02 8.528459927660384660e-03 -7.819041467970215542e-02
1.800000000000000000e+02 8.888551242118057985e-03 3.892315546671400173e-02
1.810000000000000000e+02 8.312141799825407615e-03 -1.509458614838161683e-01
1.820000000000000000e+02 8.537927370697832516e-03 -7.504847775144900257e-02
1.830000000000000000e+02 8.489028688369272199e-03 -9.131398642293810097e-02
1.840000000000000000e+02 7.989397955319953865e-03 -2.630940876766739156e-01
1.850000000000000000e+02 8.280712368132490606e-03 -1.616739479650035893e-01
1.860000000000000000e+02 8.950151057401812410e-03 5.848114425031034763e-02
