Time	SizeNorm	NN	MaxRgMorm	MaxRg	EffPhi
21.3333333333	0.0042792161	3.3738537503	0.2439203316	49.2719069932	0.1818447511
21.5	0.0041430763	3.3651432631	0.2240251052	45.253071259	0.1771944599
21.6666666667	0.0042028804	3.3760018859	0.2304585003	46.5526170639	0.1773697075
21.8333333333	0.0042077851	3.3888231115	0.2150055513	43.4311213618	0.1768404667
22	0.0043675296	3.3537293964	0.2137279273	43.1730413208	0.1802242564
22.1666666667	0.004422133	3.3504959849	0.2099083469	42.401486076	0.1802535378
22.3333333333	0.0044144314	3.3484345351	0.2230758044	45.0613124904	0.1841164703
22.5	0.0046750826	3.3262882926	0.2336350713	47.1942844117	0.1858826273
22.6666666667	0.0048957493	3.3292322252	0.2798525633	56.5302177787	0.1852435207
22.8333333333	0.0046300512	3.288740776	0.2637433308	53.276152826	0.1793302445
23	0.0044035319	3.2500589206	0.2306337188	46.5880112056	0.1706040324
23.1666666667	0.0049114234	3.2588123965	0.2928745313	59.1606553168	0.1813193278
23.3333333333	0.0048564103	3.2567439659	0.2908144406	58.7445170058	0.1808591797
23.5	0.0051513845	3.2555595196	0.2880137526	58.178778028	0.1868826294
23.6666666667	0.0048750816	3.254953138	0.2906810717	58.7175764811	0.1826668701
23.8333333333	0.0048210448	3.2425642849	0.2881042224	58.1970529204	0.1749051398
24	0.0047993615	3.2265180266	0.2878121594	58.1380562026	0.1745668565
24.1666666667	0.0047558431	3.1998099311	0.283465241	57.2599786783	0.1706325815
24.3333333333	0.0047072336	3.2655596703	0.2835188042	57.2707984509	0.1635282274
24.5	0.0048024197	3.2470504112	0.2828477924	57.1352540579	0.1686213859
24.6666666667	0.004611357	3.227994745	0.2475064085	49.9962945173	0.1636975169
24.8333333333	0.0047272317	3.2132633588	0.2300977704	46.4797496164	0.1662633787
25	0.005157609	3.1898552458	0.2551335242	51.5369718969	0.1714120035
25.1666666667	0.0048192512	3.1749552773	0.2276879188	45.9929596057	0.1753663405
25.3333333333	0.005045997	3.1679180074	0.2493570465	50.3701233886	0.174425872
25.5	0.0050516428	3.1449379179	0.2525305279	51.0111666278	0.1683669674
25.6666666667	0.0049712632	3.1467300832	0.2548406987	51.4778211291	0.168707923
25.8333333333	0.0050769354	3.1505120267	0.2572528749	51.9650807295	0.1733698229
26	0.0050245385	3.1343783654	0.2523688635	50.9785104218	0.1665682503
26.1666666667	0.005116903	3.1242280285	0.2594919965	52.4173832955	0.1681961591
26.3333333333	0.0051900345	3.111852293	0.2574154466	51.9979202202	0.1682681413
26.5	0.0050625301	3.0888730045	0.3039523273	61.3983701216	0.172080828
26.6666666667	0.0049896098	3.041636926	0.2600965688	52.5395068969	0.1640325769
26.8333333333	0.0047547854	3.0550077225	0.2639440757	53.3167032993	0.1629468713
27	0.0051293387	3.0246692885	0.2795668982	56.4725134298	0.1625444088
27.1666666667	0.0051024449	3.0087039466	0.3201299484	64.6662495752	0.1714804907
27.3333333333	0.004742464	3.010965435	0.2485133127	50.1996891578	0.1533038865
27.5	0.0047282996	3.0048850232	0.2449763383	49.4852203279	0.1535449244
27.6666666667	0.0051207889	2.9932167083	0.2748511406	55.5199303959	0.1613202265
