Time	SizeNorm	NN	MaxRgMorm	MaxRg	EffPhi
24.8333333333	0.0636748115	5.4509803922	0.6954333552	140.4775377474	0.5940971726
25	0.0626632426	5.4554994955	0.6974269371	140.8802412971	0.5766693872
25.1666666667	0.0647614127	5.485442782	0.6950687188	140.403881196	0.5894574787
25.3333333333	0.0719143117	5.4861181222	0.7102071709	143.4618485241	0.5836977101
25.5	0.0714399949	5.4823957912	0.7092749403	143.2735379456	0.5813973785
25.6666666667	0.073139683	5.4963172233	0.7071032474	142.8348559847	0.6001359436
25.8333333333	0.0720951021	5.5081173742	0.7049061035	142.391032902	0.5849543614
26	0.0736052779	5.5185410334	0.7041898046	142.2463405301	0.6033482171
26.1666666667	0.0822535652	5.5416034779	0.7034127336	142.0893721917	0.6365497595
26.3333333333	0.0821887981	5.5403551251	0.701935446	141.7909600923	0.6377947199
26.5	0.0816062152	5.5355306925	0.7007915125	141.5598855226	0.6338693906
26.6666666667	0.0812071774	5.5489207182	0.6986327871	141.1238229866	0.6357364194
26.8333333333	0.0809477463	5.546898715	0.6984750569	141.0919615002	0.6360343764
27	0.0865272328	5.5595033814	0.6946354875	140.3163684767	0.6342296036
27.1666666667	0.0866410462	5.5653756699	0.6943390316	140.2564843857	0.6304758431
27.3333333333	0.0862713057	5.5818787206	0.6923452151	139.8537334457	0.6236049095
27.5	0.0864876906	5.5927793465	0.6940938709	140.2069619127	0.6275973623
27.6666666667	0.0865360545	5.5783533206	0.6976417898	140.9236415316	0.6380853782
27.8333333333	0.0884531225	5.586540399	0.6986285107	141.1229591657	0.6377750718
28	0.0877103794	5.5815415822	0.7002888724	141.4583522167	0.6340053966
28.1666666667	0.0896501604	5.5949008499	0.6980886415	141.0139055805	0.6497881706
28.3333333333	0.0874171492	5.6016974841	0.6961458701	140.6214657523	0.6338516134
28.5	0.0910247615	5.5915022762	0.6993066326	141.2599397769	0.6557028415
28.6666666667	0.0898812848	5.5897748022	0.6948357431	140.3568201145	0.653803572
28.8333333333	0.0845112521	5.568627451	0.6954024847	140.4713019156	0.6437259092
29	0.0854199128	5.5992312361	0.6977639492	140.9483177446	0.6174874201
29.1666666667	0.0861484949	5.6193743693	0.6997545681	141.3504227548	0.6208680958
29.3333333333	0.0886737068	5.624040404	0.7182208949	145.0806207745	0.6586546381
31.0333333333	0.1106617833	5.6345147	0.7995610024	161.5113224784	0.6504663191
31.5333333333	0.1142496792	5.6874688962	0.7987738548	161.3523186598	0.6757902599
32.0333333333	0.1955533527	5.6792621244	0.8506559026	171.8324923235	0.5918926012
32.5333333333	0.2101453032	5.7010697306	0.8688223365	175.502111979	0.5997489185
33.0333333333	0.2083831284	5.7041572035	0.8676341335	175.262094966	0.597334082
33.5333333333	0.2164005722	5.7090944999	0.8820645601	178.1770411338	0.6134327873
34.0333333333	0.2284522864	5.7162910241	0.8759305081	176.9379626371	0.5959683279
34.5333333333	0.2264163912	5.7314082278	0.8738660882	176.5209498103	0.5954135095
35.0333333333	0.2277341032	5.7218030183	0.8747694296	176.7034247784	0.5869580498
35.5333333333	0.2047844737	5.7409929918	0.8519528958	172.0944849598	0.5765176334
36.0333333333	0.2269822612	5.7706403941	0.875073469	176.7648407394	0.6133491613
36.5333333333	0.2155226424	5.7629173291	0.8540538856	172.5188848839	0.6015076148
37.0333333333	0.2355205233	5.7818540434	0.8750371314	176.7575005523	0.6112818672
37.5333333333	0.2377300642	5.7702329254	0.8841864367	178.605660218	0.638514737
38.0333333333	0.2325107664	5.7777120316	0.8584761288	173.4121780255	0.6062579171
38.5333333333	0.2536378859	5.7891827872	0.8810562098	177.9733543768	0.6198463776
39.0333333333	0.2593047853	5.7954792222	0.8763166578	177.0159648854	0.6063772745
39.5333333333	0.2549435088	5.8212531919	0.8721183757	176.167911884	0.603942717
40.0333333333	0.2526542259	5.8146111548	0.8714691857	176.0367755115	0.6004742868
40.5333333333	0.2543366967	5.8148731064	0.87154852	176.0528010355	0.6064186383
41.0333333333	0.2535387879	5.8427981922	0.8705713098	175.8554045737	0.6032055934
41.5333333333	0.2559361718	5.8212957526	0.8746573663	176.680788002	0.6255930569
42.0333333333	0.2794871341	5.825515211	0.8716193479	176.0671082722	0.605531975
42.5333333333	0.2785112587	5.8419714453	0.87055277	175.8516595435	0.6051430442
43.0333333333	0.2768684545	5.8282926829	0.8689733844	175.5326236524	0.6030461164
43.5333333333	0.3165286056	5.8322806336	0.8802504113	177.8105830793	0.5665678507
44.0333333333	0.3185642917	5.8424160294	0.8816332507	178.089916643	0.5696034768
44.5333333333	0.3200533815	5.8468381358	0.880820903	177.9258224089	0.5670841425
45.0333333333	0.3168221388	5.8892094634	0.8808832456	177.9384156031	0.5656543947
45.5333333333	0.411400685	5.876946741	0.9584682702	193.6105905827	0.6237399038
46.0333333333	0.4021362247	5.860707061	0.9606338847	194.0480447132	0.6305153845
46.5333333333	0.4004094518	5.863908757	0.9547230146	192.8540489549	0.6236859731
47.0333333333	0.3946576882	5.878933231	0.9561905322	193.1504874989	0.6243648925
47.5333333333	0.415539832	5.8714024449	0.9614851858	194.2200075315	0.6302171511
48.0333333333	0.4225258791	5.8896578239	0.9667273137	195.2789173759	0.6159244405
48.5333333333	0.4095184234	5.893025493	0.9638500799	194.6977161442	0.6335434204
49.0333333333	0.4209578982	5.8752775364	0.9676109923	195.4574204498	0.6503511456
49.5333333333	0.4158459777	5.8826015948	0.957148491	193.3439951875	0.6357656803
50.0333333333	0.422349536	5.8826584592	0.9660640686	195.1449418621	0.6456813868
50.5333333333	0.414349278	5.8910281094	0.9551687888	192.9440953464	0.6320917105
51.0333333333	0.474230776	5.8942612708	0.9676943049	195.4742495966	0.5838970462
51.5333333333	0.49185005	5.8874292837	0.9747636282	196.9022528938	0.5864730738
52.0333333333	0.488626756	5.8801462101	0.9747109989	196.8916217816	0.5884149739
52.5333333333	0.5160360816	5.9053333333	0.9910147885	200.1849872865	0.6072469639
53.0333333333	0.5114662746	5.8925407259	0.9902294296	200.0263447884	0.6270064247
53.5333333333	0.508433123	5.9108873266	0.989342137	199.847111683	0.6424797726
54.0333333333	0.5055168862	5.9031555008	0.9882212423	199.6206909396	0.6406823614
54.5333333333	0.5814359541	5.9092459265	0.9899313315	199.9661289608	0.6069178387
55.0333333333	0.5009167556	5.9157894737	0.9639135998	194.7105471508	0.5942582904
55.5333333333	0.596607987	5.9186575654	0.9884045266	199.6577143692	0.6010956332
56.0333333333	0.6133773321	5.906176109	0.9907470303	200.1309001149	0.6025974057
56.5333333333	0.619074913	5.9236856981	0.9884863404	199.6742407608	0.6014310147
