Time	SizeNorm	NN	MaxRgMorm	MaxRg	EffPhi
12.5	0.0018253767	2.8139172815	0.2855672086	65.966025185	0.3025772444
12.75	0.0021633289	2.904109589	0.308956422	71.3689334778	0.3292903735
13	0.0024014073	2.9932550924	0.3232359483	74.6675040503	0.3503800434
13.25	0.0024810398	3.0709119178	0.315469494	72.8734531215	0.3496810169
13.5	0.0028083181	3.1558108108	0.317212325	73.2760470734	0.3656673658
13.75	0.0031013091	3.2399351527	0.332500992	76.8077291561	0.376752433
14	0.0034513445	3.3157503212	0.3554170154	82.1013305494	0.4069019224
14.25	0.0037299043	3.3964152858	0.3567874923	82.4179107202	0.4059340387
14.5	0.0040104074	3.4665042631	0.3519409321	81.2983553062	0.4103658931
14.75	0.0043592592	3.5365143824	0.35440333	81.8671692312	0.417701619
15	0.0052445401	3.621395286	0.3521187751	81.3394370496	0.4303617133
15.25	0.0055653724	3.6851098454	0.3536844315	81.7011036834	0.439236773
15.5	0.0070589028	3.7538378305	0.3985055952	92.0547924895	0.4505709343
15.75	0.0077298399	3.810644485	0.3980143545	91.9413158975	0.4480225134
16	0.0088964992	3.8684798052	0.3989248749	92.1516460914	0.4550650884
16.25	0.0092372701	3.9251604188	0.3963053022	91.5465248033	0.4431394874
16.5	0.0090788708	3.9911135048	0.3910997175	90.3440347448	0.4543824532
16.75	0.0084783591	4.0351684025	0.4299494014	99.3183117228	0.4767010723
17	0.0105437032	4.0991277301	0.4088003625	94.4328837423	0.4684738305
17.25	0.0102051087	4.144524661	0.3963188405	91.5496521649	0.4734349624
17.5	0.0118434375	4.1955050095	0.4070005385	94.0171244044	0.4726685729
17.75	0.0122495988	4.2420486277	0.4114791445	95.0516823785	0.4840158075
18	0.0132247271	4.2893986697	0.4680647855	108.1229654615	0.4920787774
18.25	0.0142177419	4.3346961025	0.4692081947	108.3870929716	0.5040246438
18.5	0.0140811226	4.3852124183	0.4656511692	107.5654200819	0.5091194393
18.75	0.0165284984	4.4263322884	0.5146058353	118.8739479649	0.528215673
19	0.0173574465	4.463033433	0.5110494749	118.0524287007	0.5492063076
19.25	0.0207195192	4.5128449744	0.5179477213	119.6459236295	0.528527418
19.5	0.0186280776	4.5458023089	0.5182929707	119.7256762403	0.5409132628
19.75	0.0243204077	4.5734007654	0.5497321238	126.9881206059	0.5603201331
20	0.0219990279	4.6097944129	0.5322540722	122.9506906861	0.5794374262
20.25	0.0243131967	4.6388983571	0.5484449367	126.690780372	0.5624118566
20.5	0.0246115807	4.6741588339	0.5472407188	126.4126060335	0.5632608188
20.75	0.0234764144	4.7121273989	0.5282447876	122.024545931	0.579009977
21	0.0266553485	4.7350636964	0.5488698555	126.7889366193	0.5748612752
21.25	0.0246053303	4.7587336245	0.5281675571	122.006705679	0.6165050569
21.5	0.0250188629	4.7890720807	0.5299112901	122.4095080186	0.5994001611
21.75	0.0276288297	4.7993719708	0.5477053998	126.519947357	0.5824138696
22	0.0297780267	4.829663168	0.5491824557	126.8611472554	0.5938539466
22.25	0.0301002189	4.8506332599	0.5488499862	126.7843468113	0.5873371177
22.5	0.0272112166	4.8610939112	0.5275788707	121.8707191275	0.5999606808
22.75	0.0306348753	4.8872077029	0.5490872123	126.8391460461	0.5811606991
23	0.0312714881	4.9150416868	0.5489100435	126.7982200529	0.5969603577
